drink_name,calories
Bbc -Chai (Clover Nonfat 1 Oz +ot),160
"BBC -Muscovado Latte (Mylk,  To Go)",180
BBC -Tea -Matcha To Go Oatly,190
BBC Latte (2atly) -To Go,200
"BBC -Muscovado Latte (Battenkill Whole, For Here)",200
"Bbc -Juniper Latte (Battenkill Whole, +ot)",200
Bbc -Chai (Oatly 1 Oz +ot),200
BBC -Tea -Matcha To Go Battenkill Whole,200
Bbc -Chai (Five  Acre Farms Whole 1 Oz Iced),200
Bbc -Chai (Prairie Farms Whole 1 Oz Iced),200
Bbc -Chai (Battenkill Whole 1 Oz Iced),200
BBC Latte (Battenkill Whole Milk) -To Go,210
Bbc -Chai (Clover Whole 1 Oz Iced),210
Bbc -Chai (Five  Acre Farms Whole 1 Oz +ot),210
"BBC -Muscovado Latte (Clover Whole, For Here)",210
Bbc -Chai (Battenkill Whole 1 Oz +ot),210
BBC -Tea -Matcha To Go Clover Whole,210
Bbc Iced Mocha (Califa  Almond Milk),210
Bbc -Chai (South Mountain Creamery Whole 1 Oz Iced),210
Bbc -Chai (Clover Whole 1 Oz +ot),210
"Bbc -Juniper Latte (Clover Whole, +ot)",220
BBC Iced Mocha (Battenkill Skim),230
"BBC -Muscovado Latte (2atl y, To Go)",230
BBC Latte (Clover Whole Milk) -To Go,230
BBC Iced Mocha (Clover Skim),230
BBC Iced Mocha (Oatly),250
Bbc Mocha (Califa  Almond Milk) -To Go,250
"BBC NOL A Iced Coffee Float -Villa Dolce, East Coast",250
"BBC NOL A Iced Coffee Float -Villa Dolce, West Coast",250
"BBC -Muscovado Latte (Clover Whole,  To Go)",260
BBC Iced Mocha (Battenkill Whole),260
BBC Iced Mocha (2atly),300
BBC Mocha (2atly) -To Go,320
BBC Mocha (Battenkill Whole) -To Go,330
BBC Mocha (Clover Whole) -To Go,340
